Year,Sector,Sex,Age group,Labour force value
1996,Wholesale and retail,Both sexes,25 to 54 years,143.9
1996,Wholesale and retail,Both sexes,55 years and over,16.8
1996,Wholesale and retail,Females,15 to 24 years,32.6
1996,Wholesale and retail,Females,15 years and over,109.1
1996,Wholesale and retail,Females,25 to 54 years,68.9
1996,Wholesale and retail,Females,55 years and over,7.5
1996,Wholesale and retail,Males,15 to 24 years,33.3
1996,Wholesale and retail,Males,15 years and over,117.5
1996,Wholesale and retail,Males,25 to 54 years,74.9
1996,Wholesale and retail,Males,55 years and over,9.2
1997,Agriculture & forestry,Both sexes,15 to 24 years,13.9
1997,Agriculture & forestry,Both sexes,15 years and over,95.10000000000001
1997,Agriculture & forestry,Both sexes,25 to 54 years,53.8
1997,Agriculture & forestry,Both sexes,55 years and over,26.0
1997,Agriculture & forestry,Females,15 to 24 years,3.6
1997,Agriculture & forestry,Females,15 years and over,27.8
1997,Agriculture & forestry,Females,25 to 54 years,16.7
1997,Agriculture & forestry,Females,55 years and over,7.5
1997,Agriculture & forestry,Males,15 to 24 years,10.4
1997,Agriculture & forestry,Males,15 years and over,66.4
1997,Agriculture & forestry,Males,25 to 54 years,36.3
1997,Agriculture & forestry,Males,55 years and over,18.4
1997,Business & professional services,Both sexes,15 to 24 years,106.9
1997,Business & professional services,Both sexes,15 years and over,469.59999999999997
1997,Business & professional services,Both sexes,25 to 54 years,321.6
1997,Business & professional services,Both sexes,55 years and over,41.0
1997,Business & professional services,Females,15 to 24 years,59.0
1997,Business & professional services,Females,15 years and over,242.2
1997,Business & professional services,Females,25 to 54 years,166.4
1997,Business & professional services,Females,55 years and over,16.5
1997,Business & professional services,Males,15 to 24 years,47.9
1997,Business & professional services,Males,15 years and over,227.5
1997,Business & professional services,Males,25 to 54 years,155.1
1997,Business & professional services,Males,55 years and over,24.4
1997,Construction & construction trades,Both sexes,15 to 24 years,16.2
1997,Construction & construction trades,Both sexes,15 years and over,104.9
1997,Construction & construction trades,Both sexes,25 to 54 years,78.9
1997,Construction & construction trades,Both sexes,55 years and over,9.7
1997,Construction & construction trades,Females,15 to 24 years,2.3
1997,Construction & construction trades,Females,15 years and over,13.1
1997,Construction & construction trades,Females,25 to 54 years,9.6
1997,Construction & construction trades,Females,55 years and over,0.0
1997,Construction & construction trades,Males,15 to 24 years,13.9
1997,Construction & construction trades,Males,15 years and over,91.8
1997,Construction & construction trades,Males,25 to 54 years,69.3
1997,Construction & construction trades,Males,55 years and over,8.6
1997,"Manufacturing, packaging & processing",Both sexes,15 to 24 years,16.5
1997,"Manufacturing, packaging & processing",Both sexes,15 years and over,123.3
1997,"Manufacturing, packaging & processing",Both sexes,25 to 54 years,97.7
1997,"Manufacturing, packaging & processing",Both sexes,55 years and over,9.2
1997,"Manufacturing, packaging & processing",Females,15 to 24 years,3.9
1997,"Manufacturing, packaging & processing",Females,15 years and over,29.9
1997,"Manufacturing, packaging & processing",Females,25 to 54 years,24.2
1997,"Manufacturing, packaging & processing",Females,55 years and over,1.8
1997,"Manufacturing, packaging & processing",Males,15 to 24 years,12.6
1997,"Manufacturing, packaging & processing",Males,15 years and over,93.5
1997,"Manufacturing, packaging & processing",Males,25 to 54 years,73.5
1997,"Manufacturing, packaging & processing",Males,55 years and over,7.4
1997,Mining & petroleum development,Both sexes,15 to 24 years,11.0
1997,Mining & petroleum development,Both sexes,15 years and over,89.1
1997,Mining & petroleum development,Both sexes,25 to 54 years,72.7
1997,Mining & petroleum development,Both sexes,55 years and over,5.3
1997,Mining & petroleum development,Females,15 to 24 years,2.1
1997,Mining & petroleum development,Females,15 years and over,17.5
1997,Mining & petroleum development,Females,25 to 54 years,15.1
1997,Mining & petroleum development,Females,55 years and over,0.0
1997,Mining & petroleum development,Males,15 to 24 years,8.9
1997,Mining & petroleum development,Males,15 years and over,71.6
1997,Mining & petroleum development,Males,25 to 54 years,57.7
1997,Mining & petroleum development,Males,55 years and over,5.0
1997,"Provincial & municipal government, education & health",Both sexes,15 to 24 years,27.5
1997,"Provincial & municipal government, education & health",Both sexes,15 years and over,315.5
1997,"Provincial & municipal government, education & health",Both sexes,25 to 54 years,259.6
1997,"Provincial & municipal government, education & health",Both sexes,55 years and over,28.4
1997,"Provincial & municipal government, education & health",Females,15 to 24 years,19.5
1997,"Provincial & municipal government, education & health",Females,15 years and over,217.4
1997,"Provincial & municipal government, education & health",Females,25 to 54 years,180.4
1997,"Provincial & municipal government, education & health",Females,55 years and over,17.400000000000002
1997,"Provincial & municipal government, education & health",Males,15 to 24 years,7.9
1997,"Provincial & municipal government, education & health",Males,15 years and over,98.1
1997,"Provincial & municipal government, education & health",Males,25 to 54 years,79.3
1997,"Provincial & municipal government, education & health",Males,55 years and over,10.9
1997,"Transportation, communication & utilities",Both sexes,15 to 24 years,8.8
1997,"Transportation, communication & utilities",Both sexes,15 years and over,98.0
1997,"Transportation, communication & utilities",Both sexes,25 to 54 years,78.69999999999999
1997,"Transportation, communication & utilities",Both sexes,55 years and over,9.6
1997,"Transportation, communication & utilities",Females,15 to 24 years,2.0
1997,"Transportation, communication & utilities",Females,15 years and over,21.8
1997,"Transportation, communication & utilities",Females,25 to 54 years,18.0
1997,"Transportation, communication & utilities",Females,55 years and over,0.0
1997,"Transportation, communication & utilities",Males,15 to 24 years,6.8
1997,"Transportation, communication & utilities",Males,15 years and over,76.2
1997,"Transportation, communication & utilities",Males,25 to 54 years,60.699999999999996
1997,"Transportation, communication & utilities",Males,55 years and over,8.2
1997,Wholesale and retail,Both sexes,15 to 24 years,59.4
1997,Wholesale and retail,Both sexes,15 years and over,222.7
1997,Wholesale and retail,Both sexes,25 to 54 years,148.6
1997,Wholesale and retail,Both sexes,55 years and over,14.7
1997,Wholesale and retail,Females,15 to 24 years,29.9
1997,Wholesale and retail,Females,15 years and over,108.8
1997,Wholesale and retail,Females,25 to 54 years,72.0
1997,Wholesale and retail,Females,55 years and over,6.9
1997,Wholesale and retail,Males,15 to 24 years,29.5
1997,Wholesale and retail,Males,15 years and over,113.9
1997,Wholesale and retail,Males,25 to 54 years,76.6
1997,Wholesale and retail,Males,55 years and over,7.8
1998,Agriculture & forestry,Both sexes,15 to 24 years,12.6
1998,Agriculture & forestry,Both sexes,15 years and over,96.4
1998,Agriculture & forestry,Both sexes,25 to 54 years,56.099999999999994
1998,Agriculture & forestry,Both sexes,55 years and over,26.4
1998,Agriculture & forestry,Females,15 to 24 years,3.4
1998,Agriculture & forestry,Females,15 years and over,29.7
1998,Agriculture & forestry,Females,25 to 54 years,18.5
1998,Agriculture & forestry,Females,55 years and over,7.8
1998,Agriculture & forestry,Males,15 to 24 years,9.2
1998,Agriculture & forestry,Males,15 years and over,66.0
1998,Agriculture & forestry,Males,25 to 54 years,36.900000000000006
1998,Agriculture & forestry,Males,55 years and over,18.6
1998,Business & professional services,Both sexes,15 to 24 years,111.1
1998,Business & professional services,Both sexes,15 years and over,493.9
1998,Business & professional services,Both sexes,25 to 54 years,338.9
1998,Business & professional services,Both sexes,55 years and over,43.9
1998,Business & professional services,Females,15 to 24 years,60.5
1998,Business & professional services,Females,15 years and over,252.89999999999998
1998,Business & professional services,Females,25 to 54 years,175.2
1998,Business & professional services,Females,55 years and over,17.2
1998,Business & professional services,Males,15 to 24 years,50.6
1998,Business & professional services,Males,15 years and over,240.9
1998,Business & professional services,Males,25 to 54 years,163.6
1998,Business & professional services,Males,55 years and over,26.6
1998,Construction & construction trades,Both sexes,15 to 24 years,21.4
1998,Construction & construction trades,Both sexes,15 years and over,114.3
1998,Construction & construction trades,Both sexes,25 to 54 years,82.8
1998,Construction & construction trades,Both sexes,55 years and over,10.1
1998,Construction & construction trades,Females,15 to 24 years,1.5
1998,Construction & construction trades,Females,15 years and over,12.0
1998,Construction & construction trades,Females,25 to 54 years,9.2
1998,Construction & construction trades,Females,55 years and over,0.0
1998,Construction & construction trades,Males,15 to 24 years,19.9
1998,Construction & construction trades,Males,15 years and over,102.4
1998,Construction & construction trades,Males,25 to 54 years,73.7
1998,Construction & construction trades,Males,55 years and over,8.8
1998,"Manufacturing, packaging & processing",Both sexes,15 to 24 years,19.2
1998,"Manufacturing, packaging & processing",Both sexes,15 years and over,132.9
1998,"Manufacturing, packaging & processing",Both sexes,25 to 54 years,105.1
1998,"Manufacturing, packaging & processing",Both sexes,55 years and over,8.6
1998,"Manufacturing, packaging & processing",Females,15 to 24 years,4.8
1998,"Manufacturing, packaging & processing",Females,15 years and over,32.9
1998,"Manufacturing, packaging & processing",Females,25 to 54 years,26.4
1998,"Manufacturing, packaging & processing",Females,55 years and over,1.7
1998,"Manufacturing, packaging & processing",Males,15 to 24 years,14.4
1998,"Manufacturing, packaging & processing",Males,15 years and over,100.0
1998,"Manufacturing, packaging & processing",Males,25 to 54 years,78.8
1998,"Manufacturing, packaging & processing",Males,55 years and over,6.9
1998,Mining & petroleum development,Both sexes,15 to 24 years,14.4
1998,Mining & petroleum development,Both sexes,15 years and over,90.3
1998,Mining & petroleum development,Both sexes,25 to 54 years,70.8
1998,Mining & petroleum development,Both sexes,55 years and over,5.2
1998,Mining & petroleum development,Females,15 to 24 years,3.6
1998,Mining & petroleum development,Females,15 years and over,19.3
1998,Mining & petroleum development,Females,25 to 54 years,14.8
1998,Mining & petroleum development,Females,55 years and over,0.0
1998,Mining & petroleum development,Males,15 to 24 years,10.7
1998,Mining & petroleum development,Males,15 years and over,71.0
1998,Mining & petroleum development,Males,25 to 54 years,56.0
1998,Mining & petroleum development,Males,55 years and over,4.3
1998,"Provincial & municipal government, education & health",Both sexes,15 to 24 years,26.7
1998,"Provincial & municipal government, education & health",Both sexes,15 years and over,321.1
1998,"Provincial & municipal government, education & health",Both sexes,25 to 54 years,260.5
1998,"Provincial & municipal government, education & health",Both sexes,55 years and over,33.8
1998,"Provincial & municipal government, education & health",Females,15 to 24 years,20.0
1998,"Provincial & municipal government, education & health",Females,15 years and over,220.5
1998,"Provincial & municipal government, education & health",Females,25 to 54 years,180.1
1998,"Provincial & municipal government, education & health",Females,55 years and over,20.2
1998,"Provincial & municipal government, education & health",Males,15 to 24 years,6.6
1998,"Provincial & municipal government, education & health",Males,15 years and over,100.7
1998,"Provincial & municipal government, education & health",Males,25 to 54 years,80.4
1998,"Provincial & municipal government, education & health",Males,55 years and over,13.6
1998,"Transportation, communication & utilities",Both sexes,15 to 24 years,7.8
1998,"Transportation, communication & utilities",Both sexes,15 years and over,98.39999999999999
1998,"Transportation, communication & utilities",Both sexes,25 to 54 years,80.60000000000001
1998,"Transportation, communication & utilities",Both sexes,55 years and over,9.1
1998,"Transportation, communication & utilities",Females,15 to 24 years,2.4
1998,"Transportation, communication & utilities",Females,15 years and over,24.9
1998,"Transportation, communication & utilities",Females,25 to 54 years,20.5
1998,"Transportation, communication & utilities",Females,55 years and over,1.7
1998,"Transportation, communication & utilities",Males,15 to 24 years,5.4
1998,"Transportation, communication & utilities",Males,15 years and over,73.5
1998,"Transportation, communication & utilities",Males,25 to 54 years,60.0
1998,"Transportation, communication & utilities",Males,55 years and over,7.3
1998,Wholesale and retail,Both sexes,15 to 24 years,66.2
1998,Wholesale and retail,Both sexes,15 years and over,232.4
1998,Wholesale and retail,Both sexes,25 to 54 years,149.8
1998,Wholesale and retail,Both sexes,55 years and over,16.4
1998,Wholesale and retail,Females,15 to 24 years,34.6
1998,Wholesale and retail,Females,15 years and over,116.3
1998,Wholesale and retail,Females,25 to 54 years,74.8
1998,Wholesale and retail,Females,55 years and over,6.9
1998,Wholesale and retail,Males,15 to 24 years,31.6
1998,Wholesale and retail,Males,15 years and over,116.1
1998,Wholesale and retail,Males,25 to 54 years,75.0
1998,Wholesale and retail,Males,55 years and over,9.5
1999,Agriculture & forestry,Both sexes,15 to 24 years,12.9
1999,Agriculture & forestry,Both sexes,15 years and over,88.2
1999,Agriculture & forestry,Both sexes,25 to 54 years,48.0
1999,Agriculture & forestry,Both sexes,55 years and over,25.6
1999,Agriculture & forestry,Females,15 to 24 years,3.8
1999,Agriculture & forestry,Females,15 years and over,26.9
1999,Agriculture & forestry,Females,25 to 54 years,16.1
1999,Agriculture & forestry,Females,55 years and over,7.0
1999,Agriculture & forestry,Males,15 to 24 years,9.1
1999,Agriculture & forestry,Males,15 years and over,60.4
1999,Agriculture & forestry,Males,25 to 54 years,31.2
1999,Agriculture & forestry,Males,55 years and over,18.6
1999,Business & professional services,Both sexes,15 to 24 years,119.7
1999,Business & professional services,Both sexes,15 years and over,508.4
1999,Business & professional services,Both sexes,25 to 54 years,346.0
1999,Business & professional services,Both sexes,55 years and over,42.6
1999,Business & professional services,Females,15 to 24 years,66.3
1999,Business & professional services,Females,15 years and over,269.1
1999,Business & professional services,Females,25 to 54 years,184.7
1999,Business & professional services,Females,55 years and over,18.1
1999,Business & professional services,Males,15 to 24 years,53.4
1999,Business & professional services,Males,15 years and over,239.3
1999,Business & professional services,Males,25 to 54 years,161.3
1999,Business & professional services,Males,55 years and over,23.1
1999,Construction & construction trades,Both sexes,15 to 24 years,21.7
1999,Construction & construction trades,Both sexes,15 years and over,125.8
1999,Construction & construction trades,Both sexes,25 to 54 years,92.3
1999,Construction & construction trades,Both sexes,55 years and over,11.8
1999,Construction & construction trades,Females,15 to 24 years,1.7
1999,Construction & construction trades,Females,15 years and over,14.9
1999,Construction & construction trades,Females,25 to 54 years,11.6
1999,Construction & construction trades,Females,55 years and over,1.6
1999,Construction & construction trades,Males,15 to 24 years,20.1
1999,Construction & construction trades,Males,15 years and over,111.0
1999,Construction & construction trades,Males,25 to 54 years,80.7
1999,Construction & construction trades,Males,55 years and over,10.2
1999,"Manufacturing, packaging & processing",Both sexes,15 to 24 years,17.8
1999,"Manufacturing, packaging & processing",Both sexes,15 years and over,141.6
1999,"Manufacturing, packaging & processing",Both sexes,25 to 54 years,114.6
1999,"Manufacturing, packaging & processing",Both sexes,55 years and over,9.1
1999,"Manufacturing, packaging & processing",Females,15 to 24 years,4.0
1999,"Manufacturing, packaging & processing",Females,15 years and over,30.9
1999,"Manufacturing, packaging & processing",Females,25 to 54 years,25.8
1999,"Manufacturing, packaging & processing",Females,55 years and over,0.0
1999,"Manufacturing, packaging & processing",Males,15 to 24 years,13.8
1999,"Manufacturing, packaging & processing",Males,15 years and over,110.7
1999,"Manufacturing, packaging & processing",Males,25 to 54 years,88.8
1999,"Manufacturing, packaging & processing",Males,55 years and over,8.0
1999,Mining & petroleum development,Both sexes,15 to 24 years,10.3
1999,Mining & petroleum development,Both sexes,15 years and over,78.3
1999,Mining & petroleum development,Both sexes,25 to 54 years,64.3
1999,Mining & petroleum development,Both sexes,55 years and over,3.7
1999,Mining & petroleum development,Females,15 to 24 years,2.9
1999,Mining & petroleum development,Females,15 years and over,15.3
1999,Mining & petroleum development,Females,25 to 54 years,11.5
1999,Mining & petroleum development,Females,55 years and over,0.0
1999,Mining & petroleum development,Males,15 to 24 years,7.3
1999,Mining & petroleum development,Males,15 years and over,63.0
1999,Mining & petroleum development,Males,25 to 54 years,52.8
1999,Mining & petroleum development,Males,55 years and over,2.9
1999,"Provincial & municipal government, education & health",Both sexes,15 to 24 years,29.2
1999,"Provincial & municipal government, education & health",Both sexes,15 years and over,320.4
1999,"Provincial & municipal government, education & health",Both sexes,25 to 54 years,255.89999999999998
1999,"Provincial & municipal government, education & health",Both sexes,55 years and over,35.2
1999,"Provincial & municipal government, education & health",Females,15 to 24 years,20.400000000000002
1999,"Provincial & municipal government, education & health",Females,15 years and over,227.0
1999,"Provincial & municipal government, education & health",Females,25 to 54 years,184.29999999999998
1999,"Provincial & municipal government, education & health",Females,55 years and over,22.099999999999998
1999,"Provincial & municipal government, education & health",Males,15 to 24 years,8.8
1999,"Provincial & municipal government, education & health",Males,15 years and over,93.4
1999,"Provincial & municipal government, education & health",Males,25 to 54 years,71.6
1999,"Provincial & municipal government, education & health",Males,55 years and over,13.0
1999,"Transportation, communication & utilities",Both sexes,15 to 24 years,10.6
1999,"Transportation, communication & utilities",Both sexes,15 years and over,105.8
1999,"Transportation, communication & utilities",Both sexes,25 to 54 years,85.2
1999,"Transportation, communication & utilities",Both sexes,55 years and over,8.8
1999,"Transportation, communication & utilities",Females,15 to 24 years,2.3
1999,"Transportation, communication & utilities",Females,15 years and over,24.099999999999998
1999,"Transportation, communication & utilities",Females,25 to 54 years,19.900000000000002
1999,"Transportation, communication & utilities",Females,55 years and over,1.6
1999,"Transportation, communication & utilities",Males,15 to 24 years,8.3
1999,"Transportation, communication & utilities",Males,15 years and over,81.8
1999,"Transportation, communication & utilities",Males,25 to 54 years,65.2
1999,"Transportation, communication & utilities",Males,55 years and over,7.3
1999,Wholesale and retail,Both sexes,15 to 24 years,66.4
1999,Wholesale and retail,Both sexes,15 years and over,248.2
1999,Wholesale and retail,Both sexes,25 to 54 years,160.0
1999,Wholesale and retail,Both sexes,55 years and over,21.8
1999,Wholesale and retail,Females,15 to 24 years,32.5
1999,Wholesale and retail,Females,15 years and over,118.7
1999,Wholesale and retail,Females,25 to 54 years,75.5
1999,Wholesale and retail,Females,55 years and over,10.7
1999,Wholesale and retail,Males,15 to 24 years,33.9
1999,Wholesale and retail,Males,15 years and over,129.5
1999,Wholesale and retail,Males,25 to 54 years,84.5
1999,Wholesale and retail,Males,55 years and over,11.2
2000,Agriculture & forestry,Both sexes,15 to 24 years,11.4
2000,Agriculture & forestry,Both sexes,15 years and over,78.2
2000,Agriculture & forestry,Both sexes,25 to 54 years,41.6
2000,Agriculture & forestry,Both sexes,55 years and over,24.9
2000,Agriculture & forestry,Females,15 to 24 years,2.5
2000,Agriculture & forestry,Females,15 years and over,20.9
2000,Agriculture & forestry,Females,25 to 54 years,12.5
2000,Agriculture & forestry,Females,55 years and over,5.9
2000,Agriculture & forestry,Males,15 to 24 years,7.5
2000,Agriculture & forestry,Males,15 years and over,56.2
2000,Agriculture & forestry,Males,25 to 54 years,28.3
2000,Agriculture & forestry,Males,55 years and over,19.0
2000,Business & professional services,Both sexes,15 to 24 years,126.4
2000,Business & professional services,Both sexes,15 years and over,515.1
2000,Business & professional services,Both sexes,25 to 54 years,344.2
2000,Business & professional services,Both sexes,55 years and over,44.7
2000,Business & professional services,Females,15 to 24 years,70.0
2000,Business & professional services,Females,15 years and over,266.9
2000,Business & professional services,Females,25 to 54 years,177.1
2000,Business & professional services,Females,55 years and over,19.8
2000,Business & professional services,Males,15 to 24 years,56.5
2000,Business & professional services,Males,15 years and over,248.2
2000,Business & professional services,Males,25 to 54 years,167.0
2000,Business & professional services,Males,55 years and over,24.8
2000,Construction & construction trades,Both sexes,15 to 24 years,23.6
2000,Construction & construction trades,Both sexes,15 years and over,135.2
2000,Construction & construction trades,Both sexes,25 to 54 years,98.5
2000,Construction & construction trades,Both sexes,55 years and over,13.0
2000,Construction & construction trades,Females,15 to 24 years,1.7
2000,Construction & construction trades,Females,15 years and over,16.1
2000,Construction & construction trades,Females,25 to 54 years,13.0
2000,Construction & construction trades,Females,55 years and over,0.0
2000,Construction & construction trades,Males,15 to 24 years,21.9
2000,Construction & construction trades,Males,15 years and over,119.0
2000,Construction & construction trades,Males,25 to 54 years,85.5
2000,Construction & construction trades,Males,55 years and over,11.6
2000,"Manufacturing, packaging & processing",Both sexes,15 to 24 years,21.7
2000,"Manufacturing, packaging & processing",Both sexes,15 years and over,143.3
2000,"Manufacturing, packaging & processing",Both sexes,25 to 54 years,112.4
2000,"Manufacturing, packaging & processing",Both sexes,55 years and over,9.1
2000,"Manufacturing, packaging & processing",Females,15 to 24 years,5.0
2000,"Manufacturing, packaging & processing",Females,15 years and over,35.7
2000,"Manufacturing, packaging & processing",Females,25 to 54 years,29.5
2000,"Manufacturing, packaging & processing",Females,55 years and over,0.0
2000,"Manufacturing, packaging & processing",Males,15 to 24 years,16.7
2000,"Manufacturing, packaging & processing",Males,15 years and over,107.6
2000,"Manufacturing, packaging & processing",Males,25 to 54 years,82.9
2000,"Manufacturing, packaging & processing",Males,55 years and over,8.0
2000,Mining & petroleum development,Both sexes,15 to 24 years,8.8
2000,Mining & petroleum development,Both sexes,15 years and over,80.1
2000,Mining & petroleum development,Both sexes,25 to 54 years,67.1
2000,Mining & petroleum development,Both sexes,55 years and over,4.3
2000,Mining & petroleum development,Females,15 to 24 years,1.6
2000,Mining & petroleum development,Females,15 years and over,18.4
2000,Mining & petroleum development,Females,25 to 54 years,15.8
2000,Mining & petroleum development,Females,55 years and over,0.0
2000,Mining & petroleum development,Males,15 to 24 years,7.1
2000,Mining & petroleum development,Males,15 years and over,61.8
2000,Mining & petroleum development,Males,25 to 54 years,51.3
2000,Mining & petroleum development,Males,55 years and over,3.4
2000,"Provincial & municipal government, education & health",Both sexes,15 to 24 years,27.1
2000,"Provincial & municipal government, education & health",Both sexes,15 years and over,320.6
2000,"Provincial & municipal government, education & health",Both sexes,25 to 54 years,259.5
2000,"Provincial & municipal government, education & health",Both sexes,55 years and over,34.1
2000,"Provincial & municipal government, education & health",Females,15 to 24 years,21.6
2000,"Provincial & municipal government, education & health",Females,15 years and over,228.29999999999998
2000,"Provincial & municipal government, education & health",Females,25 to 54 years,185.1
2000,"Provincial & municipal government, education & health",Females,55 years and over,21.6
2000,"Provincial & municipal government, education & health",Males,15 to 24 years,5.5
2000,"Provincial & municipal government, education & health",Males,15 years and over,92.30000000000001
2000,"Provincial & municipal government, education & health",Males,25 to 54 years,74.3
2000,"Provincial & municipal government, education & health",Males,55 years and over,12.5
2000,"Transportation, communication & utilities",Both sexes,15 to 24 years,8.1
2000,"Transportation, communication & utilities",Both sexes,15 years and over,112.7
2000,"Transportation, communication & utilities",Both sexes,25 to 54 years,92.8
2000,"Transportation, communication & utilities",Both sexes,55 years and over,10.8
2000,"Transportation, communication & utilities",Females,15 to 24 years,0.0
2000,"Transportation, communication & utilities",Females,15 years and over,27.7
2000,"Transportation, communication & utilities",Females,25 to 54 years,24.2
2000,"Transportation, communication & utilities",Females,55 years and over,2.0
2000,"Transportation, communication & utilities",Males,15 to 24 years,6.8
2000,"Transportation, communication & utilities",Males,15 years and over,84.9
2000,"Transportation, communication & utilities",Males,25 to 54 years,68.5
2000,"Transportation, communication & utilities",Males,55 years and over,8.8
2000,Wholesale and retail,Both sexes,15 to 24 years,71.2
2000,Wholesale and retail,Both sexes,15 years and over,260.8
2000,Wholesale and retail,Both sexes,25 to 54 years,166.3
2000,Wholesale and retail,Both sexes,55 years and over,23.3
2000,Wholesale and retail,Females,15 to 24 years,35.1
2000,Wholesale and retail,Females,15 years and over,122.4
2000,Wholesale and retail,Females,25 to 54 years,77.7
2000,Wholesale and retail,Females,55 years and over,9.6
2000,Wholesale and retail,Males,15 to 24 years,36.1
2000,Wholesale and retail,Males,15 years and over,138.4
2000,Wholesale and retail,Males,25 to 54 years,88.6
2000,Wholesale and retail,Males,55 years and over,13.7
2001,Agriculture & forestry,Both sexes,15 to 24 years,8.6
2001,Agriculture & forestry,Both sexes,15 years and over,64.8
2001,Agriculture & forestry,Both sexes,25 to 54 years,38.9
2001,Agriculture & forestry,Both sexes,55 years and over,16.4
2001,Agriculture & forestry,Females,15 to 24 years,2.3
2001,Agriculture & forestry,Females,15 years and over,17.7
2001,Agriculture & forestry,Females,25 to 54 years,11.4
2001,Agriculture & forestry,Females,55 years and over,4.1
2001,Agriculture & forestry,Males,15 to 24 years,6.3
2001,Agriculture & forestry,Males,15 years and over,46.4
2001,Agriculture & forestry,Males,25 to 54 years,27.0
2001,Agriculture & forestry,Males,55 years and over,12.3
2001,Business & professional services,Both sexes,15 to 24 years,125.4
2001,Business & professional services,Both sexes,15 years and over,532.0
2001,Business & professional services,Both sexes,25 to 54 years,355.4
2001,Business & professional services,Both sexes,55 years and over,51.3
2001,Business & professional services,Females,15 to 24 years,68.30000000000001
2001,Business & professional services,Females,15 years and over,275.4
2001,Business & professional services,Females,25 to 54 years,185.0
2001,Business & professional services,Females,55 years and over,22.0
2001,Business & professional services,Males,15 to 24 years,57.2
2001,Business & professional services,Males,15 years and over,256.6
2001,Business & professional services,Males,25 to 54 years,170.1
2001,Business & professional services,Males,55 years and over,29.4
2001,Construction & construction trades,Both sexes,15 to 24 years,22.2
2001,Construction & construction trades,Both sexes,15 years and over,139.8
2001,Construction & construction trades,Both sexes,25 to 54 years,103.0
2001,Construction & construction trades,Both sexes,55 years and over,14.6
2001,Construction & construction trades,Females,15 to 24 years,2.2
2001,Construction & construction trades,Females,15 years and over,17.7
2001,Construction & construction trades,Females,25 to 54 years,13.0
2001,Construction & construction trades,Females,55 years and over,2.5
2001,Construction & construction trades,Males,15 to 24 years,20.0
2001,Construction & construction trades,Males,15 years and over,122.2
2001,Construction & construction trades,Males,25 to 54 years,90.0
2001,Construction & construction trades,Males,55 years and over,12.1
2001,"Manufacturing, packaging & processing",Both sexes,15 to 24 years,23.1
2001,"Manufacturing, packaging & processing",Both sexes,15 years and over,144.5
2001,"Manufacturing, packaging & processing",Both sexes,25 to 54 years,109.7
2001,"Manufacturing, packaging & processing",Both sexes,55 years and over,11.7
2001,"Manufacturing, packaging & processing",Females,15 to 24 years,5.7
2001,"Manufacturing, packaging & processing",Females,15 years and over,38.2
2001,"Manufacturing, packaging & processing",Females,25 to 54 years,31.0
2001,"Manufacturing, packaging & processing",Females,55 years and over,1.5
2001,"Manufacturing, packaging & processing",Males,15 to 24 years,17.4
2001,"Manufacturing, packaging & processing",Males,15 years and over,106.3
2001,"Manufacturing, packaging & processing",Males,25 to 54 years,78.7
2001,"Manufacturing, packaging & processing",Males,55 years and over,10.2
2001,Mining & petroleum development,Both sexes,15 to 24 years,13.2
2001,Mining & petroleum development,Both sexes,15 years and over,98.5
2001,Mining & petroleum development,Both sexes,25 to 54 years,79.1
2001,Mining & petroleum development,Both sexes,55 years and over,6.2
2001,Mining & petroleum development,Females,15 to 24 years,2.0
2001,Mining & petroleum development,Females,15 years and over,20.1
2001,Mining & petroleum development,Females,25 to 54 years,17.5
2001,Mining & petroleum development,Females,55 years and over,0.0
2001,Mining & petroleum development,Males,15 to 24 years,11.2
2001,Mining & petroleum development,Males,15 years and over,78.4
2001,Mining & petroleum development,Males,25 to 54 years,61.6
2001,Mining & petroleum development,Males,55 years and over,5.6
2001,"Provincial & municipal government, education & health",Both sexes,15 to 24 years,27.5
2001,"Provincial & municipal government, education & health",Both sexes,15 years and over,329.5
2001,"Provincial & municipal government, education & health",Both sexes,25 to 54 years,262.9
2001,"Provincial & municipal government, education & health",Both sexes,55 years and over,39.1
2001,"Provincial & municipal government, education & health",Females,15 to 24 years,20.0
2001,"Provincial & municipal government, education & health",Females,15 years and over,236.6
2001,"Provincial & municipal government, education & health",Females,25 to 54 years,189.39999999999998
2001,"Provincial & municipal government, education & health",Females,55 years and over,27.2
2001,"Provincial & municipal government, education & health",Males,15 to 24 years,7.4
2001,"Provincial & municipal government, education & health",Males,15 years and over,92.7
2001,"Provincial & municipal government, education & health",Males,25 to 54 years,73.5
2001,"Provincial & municipal government, education & health",Males,55 years and over,11.9
2001,"Transportation, communication & utilities",Both sexes,15 to 24 years,8.7
2001,"Transportation, communication & utilities",Both sexes,15 years and over,114.3
2001,"Transportation, communication & utilities",Both sexes,25 to 54 years,91.9
2001,"Transportation, communication & utilities",Both sexes,55 years and over,11.9
2001,"Transportation, communication & utilities",Females,15 to 24 years,2.0
2001,"Transportation, communication & utilities",Females,15 years and over,27.0
2001,"Transportation, communication & utilities",Females,25 to 54 years,22.3
2001,"Transportation, communication & utilities",Females,55 years and over,2.0
2001,"Transportation, communication & utilities",Males,15 to 24 years,6.7
2001,"Transportation, communication & utilities",Males,15 years and over,87.3
2001,"Transportation, communication & utilities",Males,25 to 54 years,69.7
2001,"Transportation, communication & utilities",Males,55 years and over,9.9
2001,Wholesale and retail,Both sexes,15 to 24 years,77.0
